"","trait","env","gen","predicted.value"
"566","GY","E01","G55",3063.85221978771
"567","GY","E01","G57",2833.53454297738
"568","GY","E01","G59",3233.64701713655
"569","GY","E01","G60",2776.3756180975
"570","GY","E01","G64",1976.15066977916
"571","GY","E02","G02",2807.88803753378
"572","GY","E02","G05",752.149140542847
"573","GY","E02","G09",1324.10997005361
"574","GY","E02","G11",3007.99887128873
"575","GY","E02","G14",2509.08000523
"576","GY","E02","G21",968.860420536899
"577","GY","E02","G22",1054.5790883897
"578","GY","E02","G23",1800.09003767286
"579","GY","E02","G24",1695.95996580942
"580","GY","E02","G26",3114.24172721896
"581","GY","E02","G28",2278.48471565416
"582","GY","E02","G29",3217.16449390137
"583","GY","E02","G30",2865.83868622299
"584","GY","E02","G38",963.729373517542
"585","GY","E02","G39",3098.24493357038
"586","GY","E02","G40",2144.17201426509
"587","GY","E02","G41",2691.38308756483
"588","GY","E02","G42",3391.60921894006
"589","GY","E02","G43",2341.56641136273
"590","GY","E02","G44",2727.30041670033
"591","GY","E02","G45",3233.16128754996
"592","GY","E02","G46",2827.20492043018
"593","GY","E02","G47",2590.87493124447
"594","GY","E02","G48",1698.37457617147
"595","GY","E02","G54",2002.91730808512
"596","GY","E02","G55",1867.69912781028
"597","GY","E02","G57",2307.15821370351
"598","GY","E02","G59",1732.17912124018
"599","GY","E02","G60",1368.47843545629
"600","GY","E02","G64",2003.82278697089
"601","GY","E03","G02",1981.40684758664
"602","GY","E03","G05",731.327233464482
"603","GY","E03","G09",1861.15561348273
"604","GY","E03","G11",1841.06290631414
"605","GY","E03","G14",1574.96333573529
"606","GY","E03","G21",841.06432646215
"607","GY","E03","G22",895.160076531423
"608","GY","E03","G23",1247.55524841126
"609","GY","E03","G24",1174.91238403252
"610","GY","E03","G26",2990.98399350097
"611","GY","E03","G28",1678.77565610632
"612","GY","E03","G29",964.711755191917
"613","GY","E03","G30",1572.1297488269
"614","GY","E03","G38",796.24213354761
"615","GY","E03","G39",1851.88205632799
"616","GY","E03","G40",2247.55382826325
"617","GY","E03","G41",2607.67696443869
"618","GY","E03","G42",3372.74542970412
"619","GY","E03","G43",1570.58415596777
"620","GY","E03","G44",1783.57003426693
"621","GY","E03","G45",2545.85325007381
"622","GY","E03","G46",2528.85172862347
"623","GY","E03","G47",2094.54013521016
"624","GY","E03","G48",783.877390674633
"625","GY","E03","G54",2793.14810753334
"626","GY","E03","G55",1780.78478480838
"627","GY","E03","G57",1933.79847786146
"628","GY","E03","G59",2170.27418530714
"629","GY","E03","G60",1429.93520578766
"630","GY","E03","G64",1653.01577512095
"631","GY","E04","G02",3873.08784391279
"632","GY","E04","G05",657.936841672456
"633","GY","E04","G09",3691.95257618094
"634","GY","E04","G11",1540.97127186523
"635","GY","E04","G14",2653.65934507516
"636","GY","E04","G21",2356.07997665855
"637","GY","E04","G22",2430.4748187627
"638","GY","E04","G23",2543.68436109511
"639","GY","E04","G24",2747.46153729344
"640","GY","E04","G26",3404.0768828214
"641","GY","E04","G28",1162.52794463975
"642","GY","E04","G29",2391.66011853445
"643","GY","E04","G30",2239.63587597379
"644","GY","E04","G38",1282.20660367687
"645","GY","E04","G39",1984.10576613779
"646","GY","E04","G40",1971.16753272837
"647","GY","E04","G41",2795.3657924076
"648","GY","E04","G42",2889.78210479704
"649","GY","E04","G43",3931.30989425517
"650","GY","E04","G44",1605.66243891231
"651","GY","E04","G45",978.158118555548
"652","GY","E04","G46",2433.70937711506
"653","GY","E04","G47",3129.13942287127
"654","GY","E04","G48",1945.29106590953
"655","GY","E04","G54",3316.74380730783
"656","GY","E04","G55",1288.67572038158
"657","GY","E04","G57",2226.69764256437
"658","GY","E04","G59",2705.41227871283
