env;gen;rep;NDM;PH;GY
E09;G30;3;118;44;2648
E10;G30;1;133;58;1300
E10;G30;2;133;61;1200
E10;G30;3;133;76;1440
E11;G30;1;109;30;1058
E11;G30;2;109;30;1110
E11;G30;3;109;62;1226
E12;G30;1;94;40;600
E12;G30;2;95;40;434
E12;G30;3;95;40;450
E13;G30;1;NA;90;2755
E13;G30;2;NA;87;3243
E13;G30;3;197;83;2332
E14;G30;1;105;57;2156
E14;G30;2;104;61;NA
E14;G30;3;104;58;2048
E08;G31;1;117;30;1510
E08;G31;2;135;31;1802
E08;G31;3;111;30;1234
E09;G31;1;95;29;2592
E09;G31;2;96;27;2524
E09;G31;3;94;31;2726
E10;G31;1;112;28;730
E10;G31;2;112;39;1270
E10;G31;3;112;38;1000
E11;G31;1;90;60;974
E11;G31;2;90;60;1544
E11;G31;3;90;62;1120
E12;G31;1;92;45;850
E12;G31;2;91;45;262
E12;G31;3;91;47;236
E13;G31;1;171;75;1580
E13;G31;2;169;66;2244
E13;G31;3;168;72;1704
E14;G31;1;97;35;1036
E14;G31;2;97;36;1823
E14;G31;3;97;34;1183
E15;G31;1;NA;32;1800
E15;G31;2;NA;33;1600
E15;G31;3;NA;28;1600
E16;G31;1;107;63;3600
E16;G31;2;107;56;1500
E16;G31;3;109;51;1820
E17;G31;1;120;76;3804
E17;G31;2;121;80;2832
E17;G31;3;120;38;NA
E18;G31;1;130;87;3600
E18;G31;2;116;99;3380
E18;G31;3;116;27;NA
E19;G31;1;96;27;1700
E19;G31;2;108;98;1720
E19;G31;3;NA;NA;1520
E08;G32;1;110;31;380
E08;G32;2;135;32;274
E08;G32;3;111;30;276
E09;G32;1;103;42;3228
E09;G32;2;102;38;2970
E09;G32;3;101;40;3042
E10;G32;1;94;30;1000
E10;G32;2;94;36;1160
E10;G32;3;94;34;1400
E11;G32;1;88;45;1078
E11;G32;2;88;62;378
E11;G32;3;88;65;130
E12;G32;1;95;35;550
E12;G32;2;91;30;310
E12;G32;3;91;30;494
E13;G32;1;165;85;2753
E13;G32;2;168;75;3092
E13;G32;3;166;71;2274
E15;G32;1;NA;26;1700
E15;G32;2;NA;28;2000
E15;G32;3;81;32;2200
E16;G32;1;95;32;1900
E16;G32;2;95;36;1600
E16;G32;3;95;35;1320
E17;G32;1;103;29;2282
E17;G32;2;104;39;3430
E17;G32;3;105;34;2582
E18;G32;1;85;26;3620
E18;G32;2;85;27;2200
E18;G32;3;85;79;1200
E19;G32;1;84;69;1040
E19;G32;2;108;43;1220
E19;G32;3;NA;NA;1400
E08;G33;1;111;32;750
E08;G33;2;111;30;1112
E08;G33;3;111;31;532
E09;G33;1;102;32;3004
E09;G33;2;101;28;2938
E09;G33;3;101;31;3102
E10;G33;1;94;23;1080
E10;G33;2;125;26;1120
E10;G33;3;94;32;1400
E11;G33;1;103;60;874
E11;G33;2;103;120;594
E11;G33;3;103;90;600
E12;G33;1;94;40;416
E12;G33;2;91;39;286
E12;G33;3;89;37;244
E13;G33;1;177;60;1612
E13;G33;2;176;62;1507
E13;G33;3;175;56;1898
E15;G33;1;NA;27;1700
E15;G33;2;80;28;1600
E15;G33;3;81;32;1400
E08;G34;1;110;29;606
E08;G34;2;111;30;1348
E08;G34;3;118;31;736
E09;G34;1;94;34;2746
E09;G34;2;95;33;2878
E09;G34;3;95;34;2648
E10;G34;1;112;37;1230
E10;G34;2;112;35;1200
E10;G34;3;112;37;1720
E11;G34;1;90;75;1618
E11;G34;2;90;50;470
E11;G34;3;90;90;626
E12;G34;1;NA;20;850
E12;G34;2;91;35;1300
E12;G34;3;89;30;700
E13;G34;1;171;72;1842
E13;G34;2;170;76;2719
E13;G34;3;170;72;2128
E14;G34;1;95;35;1039
E14;G34;2;94;34;2178
E14;G34;3;94;35;1568
E15;G34;1;NA;27;2200
E15;G34;2;NA;32;1500
E15;G34;3;NA;28;1700
E14;G35;1;108;92;3323
E14;G35;2;109;88;2844
E14;G35;3;109;89;2340
E18;G36;1;96;24;2600
E18;G36;2;96;20;1800
E18;G36;3;92;42;2000
E19;G36;1;92;61;1740
E19;G36;2;91;95;1860
E19;G36;3;87;47;1460
E18;G37;1;NA;NA;3520
E18;G37;2;NA;NA;3600
E18;G37;3;116;48;3120
E19;G37;1;105;60;1820
E19;G37;2;111;28;1800
E19;G37;3;84;28;1960
E01;G38;1;110;39;1400
E01;G38;2;110;35;1800
E01;G38;3;110;36;1000
E02;G38;1;181;47;724
E02;G38;2;181;47;648
E02;G38;3;167;41;1128
E03;G38;1;126;27;780
E03;G38;2;NA;NA;522
E03;G38;3;123;29;222
